Total Nacional;Comunidades y Ciudades Autónomas;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Ambos sexos;2020;8.464.411
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Ambos sexos;2019;8.414.240
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Hombres;2021;4.173.339
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Hombres;2020;4.170.605
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Hombres;2019;4.147.167
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Mujeres;2021;4.299.068
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Mujeres;2020;4.293.806
Total Nacional;01 Andalucía;TOTAL EDADES;TOTAL;Mujeres;2019;4.267.073
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Ambos sexos;2021;7.760.491
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Ambos sexos;2020;7.762.393
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Ambos sexos;2019;7.758.685
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Hombres;2021;3.814.304
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Hombres;2020;3.816.350
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Hombres;2019;3.815.319
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Mujeres;2021;3.946.187
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Mujeres;2020;3.946.043
Total Nacional;01 Andalucía;TOTAL EDADES;Españoles;Mujeres;2019;3.943.366
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Ambos sexos;2021;711.916
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Ambos sexos;2020;702.018
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Ambos sexos;2019;655.555
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Hombres;2021;359.035
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Hombres;2020;354.255
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Hombres;2019;331.848
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Mujeres;2021;352.881
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Mujeres;2020;347.763
Total Nacional;01 Andalucía;TOTAL EDADES;Extranjeros;Mujeres;2019;323.707
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;8,40
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;8,29
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;7,79
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Hombres;2021;8,60
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Hombres;2020;8,49
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Hombres;2019;8,00
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Mujeres;2021;8,21
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Mujeres;2020;8,10
Total Nacional;01 Andalucía;TOTAL EDADES;% Extranjeros;Mujeres;2019;7,59
Total Nacional;01 Andalucía;0-15 años;TOTAL;Ambos sexos;2021;1.376.801
Total Nacional;01 Andalucía;0-15 años;TOTAL;Ambos sexos;2020;1.402.198
Total Nacional;01 Andalucía;0-15 años;TOTAL;Ambos sexos;2019;1.415.439
Total Nacional;01 Andalucía;0-15 años;TOTAL;Hombres;2021;707.765
Total Nacional;01 Andalucía;0-15 años;TOTAL;Hombres;2020;721.104
Total Nacional;01 Andalucía;0-15 años;TOTAL;Hombres;2019;727.646
Total Nacional;01 Andalucía;0-15 años;TOTAL;Mujeres;2021;669.036
Total Nacional;01 Andalucía;0-15 años;TOTAL;Mujeres;2020;681.094
Total Nacional;01 Andalucía;0-15 años;TOTAL;Mujeres;2019;687.793
Total Nacional;01 Andalucía;0-15 años;Españoles;Ambos sexos;2021;1.276.255
Total Nacional;01 Andalucía;0-15 años;Españoles;Ambos sexos;2020;1.300.962
Total Nacional;01 Andalucía;0-15 años;Españoles;Ambos sexos;2019;1.321.150
Total Nacional;01 Andalucía;0-15 años;Españoles;Hombres;2021;656.179
Total Nacional;01 Andalucía;0-15 años;Españoles;Hombres;2020;669.148
Total Nacional;01 Andalucía;0-15 años;Españoles;Hombres;2019;679.238
Total Nacional;01 Andalucía;0-15 años;Españoles;Mujeres;2021;620.076
Total Nacional;01 Andalucía;0-15 años;Españoles;Mujeres;2020;631.814
Total Nacional;01 Andalucía;0-15 años;Españoles;Mujeres;2019;641.912
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Ambos sexos;2021;100.546
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Ambos sexos;2020;101.236
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Ambos sexos;2019;94.289
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Hombres;2021;51.586
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Hombres;2020;51.956
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Hombres;2019;48.408
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Mujeres;2021;48.960
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Mujeres;2020;49.280
Total Nacional;01 Andalucía;0-15 años;Extranjeros;Mujeres;2019;45.881
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Ambos sexos;2021;7,30
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Ambos sexos;2020;7,22
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Ambos sexos;2019;6,66
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Hombres;2021;7,29
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Hombres;2020;7,21
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Hombres;2019;6,65
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Mujeres;2021;7,32
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Mujeres;2020;7,24
Total Nacional;01 Andalucía;0-15 años;% Extranjeros;Mujeres;2019;6,67
Total Nacional;01 Andalucía;16-64 años;TOTAL;Ambos sexos;2021;5.600.213
Total Nacional;01 Andalucía;16-64 años;TOTAL;Ambos sexos;2020;5.591.400
Total Nacional;01 Andalucía;16-64 años;TOTAL;Ambos sexos;2019;5.558.699
Total Nacional;01 Andalucía;16-64 años;TOTAL;Hombres;2021;2.811.635
Total Nacional;01 Andalucía;16-64 años;TOTAL;Hombres;2020;2.807.707
Total Nacional;01 Andalucía;16-64 años;TOTAL;Hombres;2019;2.792.483
Total Nacional;01 Andalucía;16-64 años;TOTAL;Mujeres;2021;2.788.578
Total Nacional;01 Andalucía;16-64 años;TOTAL;Mujeres;2020;2.783.693
Total Nacional;01 Andalucía;16-64 años;TOTAL;Mujeres;2019;2.766.216
Total Nacional;01 Andalucía;16-64 años;Españoles;Ambos sexos;2021;5.069.374
Total Nacional;01 Andalucía;16-64 años;Españoles;Ambos sexos;2020;5.068.503
Total Nacional;01 Andalucía;16-64 años;Españoles;Ambos sexos;2019;5.070.866
Total Nacional;01 Andalucía;16-64 años;Españoles;Hombres;2021;2.544.440
Total Nacional;01 Andalucía;16-64 años;Españoles;Hombres;2020;2.544.447
Total Nacional;01 Andalucía;16-64 años;Españoles;Hombres;2019;2.546.007
Total Nacional;01 Andalucía;16-64 años;Españoles;Mujeres;2021;2.524.934
Total Nacional;01 Andalucía;16-64 años;Españoles;Mujeres;2020;2.524.056
Total Nacional;01 Andalucía;16-64 años;Españoles;Mujeres;2019;2.524.859
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Ambos sexos;2021;530.839
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Ambos sexos;2020;522.897
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Ambos sexos;2019;487.833
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Hombres;2021;267.195
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Hombres;2020;263.260
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Hombres;2019;246.476
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Mujeres;2021;263.644
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Mujeres;2020;259.637
Total Nacional;01 Andalucía;16-64 años;Extranjeros;Mujeres;2019;241.357
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Ambos sexos;2021;9,48
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Ambos sexos;2020;9,35
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Ambos sexos;2019;8,78
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Hombres;2021;9,50
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Hombres;2020;9,38
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Hombres;2019;8,83
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Mujeres;2021;9,45
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Mujeres;2020;9,33
Total Nacional;01 Andalucía;16-64 años;% Extranjeros;Mujeres;2019;8,73
Total Nacional;01 Andalucía;65 y más;TOTAL;Ambos sexos;2021;1.495.393
Total Nacional;01 Andalucía;65 y más;TOTAL;Ambos sexos;2020;1.470.813
Total Nacional;01 Andalucía;65 y más;TOTAL;Ambos sexos;2019;1.440.102
Total Nacional;01 Andalucía;65 y más;TOTAL;Hombres;2021;653.939
Total Nacional;01 Andalucía;65 y más;TOTAL;Hombres;2020;641.794
Total Nacional;01 Andalucía;65 y más;TOTAL;Hombres;2019;627.038
Total Nacional;01 Andalucía;65 y más;TOTAL;Mujeres;2021;841.454
Total Nacional;01 Andalucía;65 y más;TOTAL;Mujeres;2020;829.019
Total Nacional;01 Andalucía;65 y más;TOTAL;Mujeres;2019;813.064
Total Nacional;01 Andalucía;65 y más;Españoles;Ambos sexos;2021;1.414.862
Total Nacional;01 Andalucía;65 y más;Españoles;Ambos sexos;2020;1.392.928
Total Nacional;01 Andalucía;65 y más;Españoles;Ambos sexos;2019;1.366.669
Total Nacional;01 Andalucía;65 y más;Españoles;Hombres;2021;613.685
Total Nacional;01 Andalucía;65 y más;Españoles;Hombres;2020;602.755
Total Nacional;01 Andalucía;65 y más;Españoles;Hombres;2019;590.074
Total Nacional;01 Andalucía;65 y más;Españoles;Mujeres;2021;801.177
Total Nacional;01 Andalucía;65 y más;Españoles;Mujeres;2020;790.173
Total Nacional;01 Andalucía;65 y más;Españoles;Mujeres;2019;776.595
Total Nacional;01 Andalucía;65 y más;Extranjeros;Ambos sexos;2021;80.531
Total Nacional;01 Andalucía;65 y más;Extranjeros;Ambos sexos;2020;77.885
Total Nacional;01 Andalucía;65 y más;Extranjeros;Ambos sexos;2019;73.433
Total Nacional;01 Andalucía;65 y más;Extranjeros;Hombres;2021;40.254
Total Nacional;01 Andalucía;65 y más;Extranjeros;Hombres;2020;39.039
Total Nacional;01 Andalucía;65 y más;Extranjeros;Hombres;2019;36.964
Total Nacional;01 Andalucía;65 y más;Extranjeros;Mujeres;2021;40.277
Total Nacional;01 Andalucía;65 y más;Extranjeros;Mujeres;2020;38.846
Total Nacional;01 Andalucía;65 y más;Extranjeros;Mujeres;2019;36.469
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Ambos sexos;2021;5,39
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Ambos sexos;2020;5,30
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Ambos sexos;2019;5,10
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Hombres;2021;6,16
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Hombres;2020;6,08
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Hombres;2019;5,90
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Mujeres;2021;4,79
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Mujeres;2020;4,69
Total Nacional;01 Andalucía;65 y más;% Extranjeros;Mujeres;2019;4,49
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.326.261
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.329.391
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.319.291
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Hombres;2021;655.248
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Hombres;2020;656.056
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Hombres;2019;650.694
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Mujeres;2021;671.013
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Mujeres;2020;673.335
Total Nacional;02 Aragón;TOTAL EDADES;TOTAL;Mujeres;2019;668.597
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Ambos sexos;2021;1.163.912
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Ambos sexos;2020;1.167.343
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Ambos sexos;2019;1.169.992
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Hombres;2021;572.418
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Hombres;2020;573.957
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Hombres;2019;575.399
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Mujeres;2021;591.494
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Mujeres;2020;593.386
Total Nacional;02 Aragón;TOTAL EDADES;Españoles;Mujeres;2019;594.593
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Ambos sexos;2021;162.349
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Ambos sexos;2020;162.048
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Ambos sexos;2019;149.299
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Hombres;2021;82.830
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Hombres;2020;82.099
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Hombres;2019;75.295
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Mujeres;2021;79.519
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Mujeres;2020;79.949
Total Nacional;02 Aragón;TOTAL EDADES;Extranjeros;Mujeres;2019;74.004
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;12,24
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;12,19
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;11,32
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Hombres;2021;12,64
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Hombres;2020;12,51
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Hombres;2019;11,57
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Mujeres;2021;11,85
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Mujeres;2020;11,87
Total Nacional;02 Aragón;TOTAL EDADES;% Extranjeros;Mujeres;2019;11,07
Total Nacional;02 Aragón;0-15 años;TOTAL;Ambos sexos;2021;193.938
Total Nacional;02 Aragón;0-15 años;TOTAL;Ambos sexos;2020;196.627
Total Nacional;02 Aragón;0-15 años;TOTAL;Ambos sexos;2019;197.140
Total Nacional;02 Aragón;0-15 años;TOTAL;Hombres;2021;99.742
Total Nacional;02 Aragón;0-15 años;TOTAL;Hombres;2020;101.073
Total Nacional;02 Aragón;0-15 años;TOTAL;Hombres;2019;101.276
Total Nacional;02 Aragón;0-15 años;TOTAL;Mujeres;2021;94.196
Total Nacional;02 Aragón;0-15 años;TOTAL;Mujeres;2020;95.554
Total Nacional;02 Aragón;0-15 años;TOTAL;Mujeres;2019;95.864
Total Nacional;02 Aragón;0-15 años;Españoles;Ambos sexos;2021;166.353
Total Nacional;02 Aragón;0-15 años;Españoles;Ambos sexos;2020;169.137
Total Nacional;02 Aragón;0-15 años;Españoles;Ambos sexos;2019;171.412
Total Nacional;02 Aragón;0-15 años;Españoles;Hombres;2021;85.490
Total Nacional;02 Aragón;0-15 años;Españoles;Hombres;2020;86.845
Total Nacional;02 Aragón;0-15 años;Españoles;Hombres;2019;87.984
Total Nacional;02 Aragón;0-15 años;Españoles;Mujeres;2021;80.863
Total Nacional;02 Aragón;0-15 años;Españoles;Mujeres;2020;82.292
Total Nacional;02 Aragón;0-15 años;Españoles;Mujeres;2019;83.428
Total Nacional;02 Aragón;0-15 años;Extranjeros;Ambos sexos;2021;27.585
Total Nacional;02 Aragón;0-15 años;Extranjeros;Ambos sexos;2020;27.490
Total Nacional;02 Aragón;0-15 años;Extranjeros;Ambos sexos;2019;25.728
Total Nacional;02 Aragón;0-15 años;Extranjeros;Hombres;2021;14.252
Total Nacional;02 Aragón;0-15 años;Extranjeros;Hombres;2020;14.228
Total Nacional;02 Aragón;0-15 años;Extranjeros;Hombres;2019;13.292
Total Nacional;02 Aragón;0-15 años;Extranjeros;Mujeres;2021;13.333
Total Nacional;02 Aragón;0-15 años;Extranjeros;Mujeres;2020;13.262
